收费门架编号,门架名称,门架类型,门架种类,省界入/出口标识,纬度,经度,使用状态,门架HEX字符串,反向门架HEX字符串
G000237009000620060,郭店-小许家枢纽门架,路段收费门架,实体门架,,36.742528,117.207606,在用,3D0D06,3C0D03
G000237009000720070,小许家枢纽-机场枢纽门架,路段收费门架,实体门架,,36.788511,117.203997,在用,3D0D07,3C0D02
G000237009000820080,机场枢纽-机场门架,路段收费门架,实体门架,,36.833898,117.205501,备用,3D0D08,3C0D01
G000237009000910010,济南东-济南东虚收费门架,路段收费门架,虚拟门架,,36.67645287,117.2101866,在用,3C1C10,3D1C0F
G000237009000920010,济南东虚-济南东收费门架,路段收费门架,虚拟门架,,36.67652512,117.2099199,在用,3D1C0F,3C1C10
G000237009001010010,郭店-郭店虚收费门架,路段收费门架,虚拟门架,,36.72546461,117.2087108,在用,3C1402,3D1401
G000237009001020010,郭店虚-郭店收费门架,路段收费门架,虚拟门架,,36.7248775,117.2079724,在用,3D1401,3C1402
G000237009001110010,机场-机场虚收费门架,路段收费门架,虚拟门架,,36.84181686,117.2053135,在用,3C1404,3D1403
G000237009001120010,机场虚-机场收费门架,路段收费门架,虚拟门架,,36.84181033,117.2056125,在用,3D1403,3C1404
G000237010000110010,济南东-港沟枢纽门架,路段收费门架,实体门架,,36.659794,117.20754,在用,3C1C01,3D1C0A
G000237010000210020,港沟枢纽-济绕济泰枢纽门架,路段收费门架,实体门架,,36.587871,117.154719,在用,3C1C02,3D1C09
G000237010000310030,济绕济泰枢纽-济南南门架,路段收费门架,实体门架,,36.54869004,117.0432106,在用,3C1C03,3D1C08
G000237010000410040,济南南-市中门架,路段收费门架,实体门架,,36.559179,116.940492,在用,3C1C04,3D1C07
G000237010000510050,市中-殷家村枢纽门架,路段收费门架,实体门架,,36.574709,116.889408,在用,3C1C05,3D1C06
G000237010000820080,殷家村枢纽-市中门架,路段收费门架,实体门架,,36.574796,116.888705,在用,3D1C06,3C1C05
G000237010000920090,市中-济南南门架,路段收费门架,实体门架,,36.55929,116.939417,在用,3D1C07,3C1C04
G000237010001020100,济南南-济绕济泰枢纽门架,路段收费门架,实体门架,,36.54842274,117.042466,在用,3D1C08,3C1C03
G000237010001120110,济绕济泰枢纽-港沟枢纽门架,路段收费门架,实体门架,,36.587319,117.154549,在用,3D1C09,3C1C02
G000237010001220120,港沟枢纽-济南东门架,路段收费门架,实体门架,,36.65909,117.207413,在用,3D1C0A,3C1C01
G000237010001310010,济南南-济南南虚收费门架,路段收费门架,虚拟门架,,36.5501299,116.9946317,在用,3C1C0C,3D1C0B
G000237010001320010,济南南虚-济南南收费门架,路段收费门架,虚拟门架,,36.54990381,116.9932816,在用,3D1C0B,3C1C0C
G000237010001410010,市中-市中虚收费门架,路段收费门架,虚拟门架,,36.56639771,116.9266372,在用,3C1C0E,3D1C0D
G000337003000110010,京台泰曲界-曲阜北门架,路段收费门架,实体门架,,35.817707,117.064525,备用,3C081C,3D0813
G000337003000210010,曲阜北-曲阜门架,路段收费门架,实体门架,,35.70879,117.061289,备用,3C081A,3D081D
G000337003000310020,曲阜-息陬枢纽门架,路段收费门架,实体门架,,35.577935,117.049535,备用,3C0816,3D081E
G000337003000510040,邹城-峄山门架,路段收费门架,实体门架,,35.317776,117.086281,备用,3C0814,3D0819
G000337003000610050,峄山虚-滕州北枢纽收费门架,路段收费门架,实体门架,,35.288866,117.093411,在用,3C0815,3D0818
G000337003000720060,滕州北枢纽-峄山虚收费门架,路段收费门架,虚拟门架,,35.289554,117.099237,备用,3D0818,3C0815
G000337003000820070,峄山-邹城门架,路段收费门架,虚拟门架,,35.31831,117.086324,备用,3D0819,3C0814
G000337003001020090,息陬枢纽-曲阜门架,路段收费门架,虚拟门架,,35.577888,117.049717,备用,3D081E,3C0816
G000337003001120100,曲阜-曲阜北门架,路段收费门架,虚拟门架,,35.708742,117.061418,备用,3D081D,3C081A
G000337003001220010,曲阜北-京台泰曲界门架,路段收费门架,虚拟门架,,35.814537,117.063942,备用,3D0813,3C081C
G000337003001310010,曲阜北-曲阜北虚门架,路段收费门架,虚拟门架,,35.73891177,117.0594653,停用,3C080B,3D080C
G000337003001420010,曲阜北虚-曲阜北门架,路段收费门架,虚拟门架,,35.73893539,117.0596129,停用,3D080C,3C080B
G000337003001510010,曲阜-曲阜虚门架,路段收费门架,虚拟门架,,35.5997948,117.0435177,在用,3C080D,3D080E
G000337003001620010,曲阜虚-曲阜门架,路段收费门架,虚拟门架,,35.59975953,117.0433579,在用,3D080E,3C080D
G000337003001710010,邹城-邹城虚门架,路段收费门架,虚拟门架,,35.40922309,117.0632565,在用,3C080F,3D0810
G000337003001820010,邹城虚-邹城门架,路段收费门架,虚拟门架,,35.40938753,117.0634013,在用,3D0810,3C080F
G000337003001910010,峄山-峄山虚门架,路段收费门架,虚拟门架,,35.30086362,117.0894928,停用,3C0811,3D0812
G000337003002020010,峄山虚-峄山门架,路段收费门架,虚拟门架,,35.30092935,117.0893319,停用,3D0812,3C0811
G000337003002510050,息陬枢纽-邹城北虚收费门架,路段收费门架,实体门架,,35.492628,117.041185,备用,3C0824,3D081F
G000337003002520060,邹城北虚-息陬枢纽收费门架,路段收费门架,实体门架,,35.49217,117.041351,备用,3D081F,3C0824
G000337003002610070,邹城北虚-邹城虚收费门架,路段收费门架,实体门架,,35.438733,117.062219,备用,3C0820,3D0821
G000337003002620080,邹城虚-邹城北虚收费门架,路段收费门架,实体门架,,35.439739,117.062133,备用,3D0821,3C0820
G000337003002710010,邹城北-邹城北虚收费门架,路段收费门架,虚拟门架,,35.466032,117.052826,备用,3C0822,3D0823
G000337003002720010,邹城北虚-邹城北收费门架,路段收费门架,虚拟门架,,35.465928,117.052671,备用,3D0823,3C0822
G000337004000110010,济南-济南北门架,路段收费门架,实体门架,,36.721029,117.030944,在用,3C0701,3D0706
G000337004000210020,济南北-天桥门架,路段收费门架,实体门架,,36.72403,116.959458,在用,3C0702,3D0705
G000337004000310030,天桥-槐荫枢纽门架,路段收费门架,实体门架,,36.721101,116.904434,在用,3C0703,3D0704
G000337004000410060,槐荫枢纽-国际医学中心门架,路段收费门架,虚拟门架,,36.688719,116.877127,停用,3C0716,3D0711
G000337004000510070,国际医学中心-济南西门架,路段收费门架,虚拟门架,,36.662494,116.883672,停用,3C071C,3D0715
G000337004000610080,济南西-殷家村枢纽门架,路段收费门架,虚拟门架,,36.586613,116.869623,停用,3C0713,3D0718
G000337004000710090,殷家村枢纽-崮山门架,路段收费门架,虚拟门架,,36.559228,116.852947,停用,3C070F,3D071B
G000337004000810100,崮山-万德门架,路段收费门架,虚拟门架,,36.353302,116.905985,停用,3C0714,3D0719
G000337004000910110,万德-京台济泰界门架,路段收费门架,虚拟门架,,36.246993,116.987157,停用,3C071A,3D0710
G000337004001020140,京台济泰界-万德门架,路段收费门架,虚拟门架,,36.246171,116.987779,停用,3D0710,3C071A
G000337004001120150,万德-崮山门架,路段收费门架,虚拟门架,,36.352905,116.906248,停用,3D0719,3C0714
G000337004001220160,崮山-殷家村枢纽门架,路段收费门架,虚拟门架,,36.559322,116.853237,停用,3D071B,3C070F
G000337004001320170,殷家村枢纽-济南西门架,路段收费门架,虚拟门架,,36.586294,116.869564,停用,3D0718,3C0713
G000337004001420180,济南西-国际医学中心门架,路段收费门架,虚拟门架,,36.663803,116.883725,停用,3D0715,3C071C
G000337004001520190,国际医学中心-槐荫枢纽门架,路段收费门架,虚拟门架,,36.688773,116.877335,停用,3D0711,3C0716
G000337004001620200,槐荫枢纽-天桥门架,路段收费门架,实体门架,,36.721156,116.901475,在用,3D0704,3C0703
G000337004001720210,天桥-济南北门架,路段收费门架,实体门架,,36.723573,116.958178,在用,3D0705,3C0702
G000337004001820220,济南北-济南门架,路段收费门架,实体门架,,36.720027,117.029783,在用,3D0706,3C0701
G000337004001910010,国际医学中心-国际医学中心虚门架,路段收费门架,虚拟门架,,36.68034771,116.8739653,在用,3C0707,3D0708
